Time,Weekday,Count,Category
0,Monday,0,None
1,Monday,0,None
2,Monday,0,None
3,Monday,0,None
4,Monday,0,None
5,Monday,0,None
6,Monday,0,None
7,Monday,10,Home
8,Monday,3,Outside
9,Monday,0,None
10,Monday,0,None
11,Monday,2,Outside
12,Monday,0,None
13,Monday,0,None
14,Monday,0,None
15,Monday,0,None
16,Monday,2,Outside
17,Monday,0,None
18,Monday,2,Outside
19,Monday,0,None
20,Monday,0,None
21,Monday,0,None
22,Monday,2,Home
23,Monday,0,None
0,Tuesday,0,None
1,Tuesday,0,None
2,Tuesday,0,None
3,Tuesday,0,None
4,Tuesday,0,None
5,Tuesday,2,Home
6,Tuesday,4,Home
7,Tuesday,6,Home
8,Tuesday,2,Home
9,Tuesday,0,None
10,Tuesday,1,Home
11,Tuesday,0,None
12,Tuesday,0,None
13,Tuesday,1,Home
14,Tuesday,0,None
15,Tuesday,0,None
16,Tuesday,1,Home
17,Tuesday,0,None
18,Tuesday,7,Home
19,Tuesday,0,None
20,Tuesday,0,None
21,Tuesday,0,None
22,Tuesday,0,None
23,Tuesday,1,Home
0,Wednesday,0,None
1,Wednesday,0,None
2,Wednesday,0,None
3,Wednesday,0,None
4,Wednesday,0,None
5,Wednesday,1,Home
6,Wednesday,1,Home
7,Wednesday,3,Outside
8,Wednesday,8,Home
9,Wednesday,0,None
10,Wednesday,1,Outside
11,Wednesday,0,None
12,Wednesday,0,None
13,Wednesday,0,None
14,Wednesday,3,Home
15,Wednesday,0,None
16,Wednesday,0,None
17,Wednesday,0,None
18,Wednesday,2,Home
19,Wednesday,0,None
20,Wednesday,0,None
21,Wednesday,1,Outside
22,Wednesday,0,None
23,Wednesday,0,None
0,Thursday,0,None
1,Thursday,0,None
2,Thursday,0,None
3,Thursday,0,None
4,Thursday,0,None
5,Thursday,0,None
6,Thursday,1,Home
7,Thursday,3,Home
8,Thursday,6,Outside
9,Thursday,1,Outside
10,Thursday,0,None
11,Thursday,0,None
12,Thursday,3,Outside
13,Thursday,0,None
14,Thursday,0,None
15,Thursday,0,None
16,Thursday,0,None
17,Thursday,0,None
18,Thursday,2,Outside
19,Thursday,0,None
20,Thursday,0,None
21,Thursday,3,Home
22,Thursday,1,Home
23,Thursday,0,None
0,Friday,0,None
1,Friday,0,None
2,Friday,0,None
3,Friday,0,None
4,Friday,0,None
5,Friday,0,None
6,Friday,0,None
7,Friday,4,Home
8,Friday,7,Home
9,Friday,0,None
10,Friday,0,None
11,Friday,1,Home
12,Friday,0,None
13,Friday,0,None
14,Friday,1,Outside
15,Friday,0,None
16,Friday,0,None
17,Friday,0,None
18,Friday,1,Outside
19,Friday,0,None
20,Friday,0,None
21,Friday,1,Outside
22,Friday,0,None
23,Friday,0,None
0,Saturday,0,None
1,Saturday,0,None
2,Saturday,0,None
3,Saturday,0,None
4,Saturday,0,None
5,Saturday,0,None
6,Saturday,0,None
7,Saturday,0,None
8,Saturday,0,None
9,Saturday,0,None
10,Saturday,2,Home
11,Saturday,2,Home
12,Saturday,5,Home
13,Saturday,0,None
14,Saturday,0,None
15,Saturday,1,Outside
16,Saturday,1,Outside
17,Saturday,0,None
18,Saturday,0,None
19,Saturday,1,Home
20,Saturday,4,Home
21,Saturday,5,Home
22,Saturday,1,Home
23,Saturday,0,None
0,Sunday,0,None
1,Sunday,0,None
2,Sunday,0,None
3,Sunday,0,None
4,Sunday,0,None
5,Sunday,0,None
6,Sunday,0,None
7,Sunday,0,None
8,Sunday,0,None
9,Sunday,0,None
10,Sunday,6,Home
11,Sunday,0,None
12,Sunday,0,None
13,Sunday,0,None
14,Sunday,3,Home
15,Sunday,0,None
16,Sunday,4,Home
17,Sunday,0,None
18,Sunday,2,Home
19,Sunday,2,Home
20,Sunday,0,None
21,Sunday,1,Home
22,Sunday,3,Home
23,Sunday,0,None
